assessment_date,basements,building_code,category_code,census_tract,central_air,date_exterior_condition,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,fuel,garage_spaces,garage_type,general_construction,homestead_exemption,house_extension,interior_condition,market_value,market_value_date,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,off_street_open,parcel_shape,quality_grade,recording_date,sale_date,sale_price,separate_utilities,sewer,site_type,taxable_building,taxable_land,topography,total_area,total_livable_area,type_heater,unfinished,utility,view_type,year_built,year_built_estimate,zip_code,zoning,building_code_new,lat,lng
2022-05-24,,SC   ,6,369.0,,,95.0,0.0,489200.0,,,40.0,,,,,0,31.0,,489200.0,,,,,,783.0,E,,2058-11-17,2058-11-17,1.0,,,,0.0,0.0,F,3800.0,,,,,I,,,19104.0,SPINS,,39.95214623844149,-75.19443395119085
2022-05-24,,RA   ,6,10.0,,,56.0,0.0,167700.0,,,16.0,,,,,0,,,167700.0,,,,,,111.0,E,,2058-11-15,2058-11-15,1.0,,,,0.0,0.0,F,896.0,,,,,I,,,19147.0,RM1,,39.943156151697785,-75.15191258710453
2022-05-24,,JV   ,4,200.0,,,0.0,0.0,417000.0,,,202.0,,,,,0,,,417000.0,,,,,,878.0,C,C ,2058-09-03,2058-09-02,2.0,,,,0.0,0.0,F,29992.0,0.0,,,,I,0.0,,19133.0,,PP,40.00028673643918,-75.14933087106641
2022-05-24,,SR   ,6,169.0,,,50.0,0.0,0.0,,,14.0,,,,,0,,,48100.0,,,,,,1672.0,E,,2058-08-26,2058-08-26,1.0,,,,0.0,48100.0,F,700.0,,,,,I,,,19132.0,RSA5,,39.99390156127646,-75.18540108490954
2022-05-24,,SS   ,6,362.0,,,120.0,0.0,0.0,,,45.0,,,,,0,,,79500.0,,,,,,9704.0,E,,2058-08-23,2058-08-23,1.0,,,,0.0,79500.0,F,5400.0,,,,,I,,,19154.0,,,40.08284684118438,-74.98176181280539
2022-05-24,,K10  ,1,217.0,,,70.0,208400.0,52100.0,4.0,0.0,93.0,,0.0,,A ,0,,4.0,260500.0,,0.0,0.0,,1.0,3379.0,A,C ,2058-08-12,2058-08-12,1.0,,,,0.0,0.0,F,5834.0,1110.0,,,,I,1965.0,,19128.0,RSA3,28,40.04905510955119,-75.22015588479874
2022-05-24,,SR   ,6,169.0,,,64.0,0.0,0.0,,,15.0,,,,,0,,,50000.0,,,,,,1268.0,E,,2051-10-15,2051-10-15,1.0,,,,0.0,50000.0,F,960.0,,,,,I,,,19132.0,RSA5,,39.99299763328058,-75.18242897082196
2022-05-24,,NA0  ,4,275.0,,,119.0,143400.0,21400.0,,,116.0,,,,A ,0,,,164800.0,,,,,,3165.0,E,C ,2051-09-21,2051-09-21,1.0,,,,0.0,0.0,F,13782.0,5964.0,,,,I,0.0,,19120.0,CA1,811,40.04448121808749,-75.12909897269608
2022-05-24,,SR   ,6,301.0,,,425.0,0.0,1735700.0,,,383.0,,,,,0,,,1735700.0,,,,,,1321.0,B,,2051-09-19,2051-09-19,1.0,,,,0.0,0.0,F,162819.0,,,,,I,,,19124.0,SPPOA,,40.01698968620667,-75.08827310003475
2022-05-24,,SC   ,6,334.0,,,225.0,0.0,0.0,,,25.0,,,,,0,,,252300.0,,,,,,1360.0,E,,2051-06-17,2051-06-17,1.0,,,,0.0,252300.0,F,5625.0,,,,,I,,,19152.0,,,40.06256665785953,-75.05159939994508
2022-05-24,,S50  ,3,7.0,,,135.0,1679654.0,420456.0,,,20.0,,,,A ,0,,,2439200.0,,,,,,266.0,E,C ,2051-05-03,2051-05-03,1.0,,,,271706.0,67384.0,A,2708.0,7324.0,,,,I,1800.0,,19103.0,CMX4,820,39.95072287085136,-75.17319209556153
2022-05-24,,LC0  ,5,111.0,,,100.0,0.0,0.0,,,63.0,,,,A ,0,27.0,,275700.0,,,,,,702.0,E,B-,2051-04-09,2051-04-09,1.0,,,,220560.0,55140.0,F,6300.0,6280.0,,,,I,1920.0,,19131.0,ICMX,272,39.97664113152773,-75.2249073696592
